,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak
61,"Friday, Jun 7",BAL,@,TBR,1.0,2.0,34-27,3.0,3.0,N,-1.0
62,"Saturday, Jun 8",BAL,@,TBR,0.0,8.0,34-28,4.0,3.5,D,-2.0
63,"Sunday, Jun 9",BAL,@,TBR,10.0,7.0,35-28,3.0,3.5,D,1.0
64,"Monday, Jun 10",BAL,Home,LAA,4.0,3.0,36-28,3.0,3.5,N,2.0
65,"Tuesday, Jun 11",BAL,Home,LAA,3.0,2.0,37-28,3.0,2.5,N,3.0
66,"Wednesday, Jun 12",BAL,Home,LAA,5.0,9.0,37-29,3.0,3.5,D,-1.0
67,"Thursday, Jun 13",BAL,Home,BOS,5.0,4.0,38-29,2.0,2.5,N,1.0
68,"Friday, Jun 14",BAL,Home,BOS,2.0,0.0,39-29,2.0,1.5,N,2.0
69,"Saturday, Jun 15",BAL,Home,BOS,4.0,5.0,39-30,2.0,2.5,D,-1.0
70,"Sunday, Jun 16",BAL,Home,BOS,6.0,3.0,40-30,2.0,1.5,D,1.0
71,"Monday, Jun 17",BAL,@,DET,1.0,5.0,40-31,2.0,2.0,N,-1.0
72,"Tuesday, Jun 18",BAL,@,DET,5.0,2.0,41-31,2.0,2.5,N,1.0
73,"Wednesday, Jun 19",BAL,@,DET,13.0,3.0,42-31,2.0,1.5,D,2.0
74,"Friday, Jun 21",BAL,@,TOR,6.0,7.0,42-32,2.0,2.0,N,-1.0
75,"Saturday, Jun 22",BAL,@,TOR,2.0,4.0,42-33,2.0,2.0,D,-2.0
76,"Sunday, Jun 23",BAL,@,TOR,5.0,13.0,42-34,2.0,2.0,D,-3.0
77,"Monday, Jun 24",BAL,Home,CLE,2.0,5.0,42-35,2.0,2.5,N,-4.0
78,"Tuesday, Jun 25",BAL,Home,CLE,6.0,3.0,43-35,2.0,2.5,N,1.0
79,"Wednesday, Jun 26",BAL,Home,CLE,3.0,4.0,43-36,2.0,3.5,N,-1.0
80,"Thursday, Jun 27",BAL,Home,CLE,7.0,3.0,44-36,2.0,3.5,N,1.0
81,"Friday, Jun 28",BAL,Home,NYY,4.0,3.0,45-36,2.0,3.5,N,2.0
82,"Saturday, Jun 29",BAL,Home,NYY,11.0,3.0,46-36,2.0,2.5,N,3.0
83,"Sunday, Jun 30",BAL,Home,NYY,4.0,2.0,47-36,2.0,2.5,N,4.0
84,"Tuesday, Jul 2",BAL,@,CHW,2.0,5.0,47-37,2.0,3.5,N,-1.0
