,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak
90,"Sunday, Jul 11",TBR,Home,TOR,1.0,3.0,53-37,2.0,1.5,D,-1
91,"Friday, Jul 16",TBR,@,ATL,7.0,6.0,54-37,2.0,1.5,N,1
92,"Saturday, Jul 17",TBR,@,ATL,0.0,9.0,54-38,2.0,1.5,N,-1
93,"Sunday, Jul 18",TBR,@,ATL,7.0,5.0,55-38,2.0,0.5,D,1
94,"Monday, Jul 19",TBR,Home,BAL,1.0,6.0,55-39,2.0,1.5,N,-1
95,"Tuesday, Jul 20",TBR,Home,BAL,9.0,3.0,56-39,2.0,1.0,N,1
96,"Wednesday, Jul 21",TBR,Home,BAL,5.0,4.0,57-39,2.0,1.0,D,2
97,"Thursday, Jul 22",TBR,@,CLE,5.0,4.0,58-39,2.0,1.0,N,3
98,"Friday, Jul 23",TBR,@,CLE,10.0,5.0,59-39,2.0,1.0,N,4
99,"Saturday, Jul 24",TBR,@,CLE,8.0,2.0,60-39,1.0,Tied,N,5
100,"Sunday, Jul 25",TBR,@,CLE,2.0,3.0,60-40,2.0,1.0,D,-1
101,"Tuesday, Jul 27",TBR,Home,NYY,3.0,4.0,60-41,2.0,2.0,N,-2
102,"Wednesday, Jul 28",TBR,Home,NYY,1.0,3.0,60-42,2.0,2.5,N,-3
103,"Thursday, Jul 29",TBR,Home,NYY,14.0,0.0,61-42,2.0,1.5,D,1
104,"Friday, Jul 30",TBR,Home,BOS,7.0,3.0,62-42,2.0,0.5,N,2
105,"Saturday, Jul 31",TBR,Home,BOS,9.0,5.0,63-42,1.0,up 0.5,N,3
106,"Sunday, Aug 1",TBR,Home,BOS,3.0,2.0,64-42,1.0,up 1.5,N,4
107,"Monday, Aug 2",TBR,Home,SEA,2.0,8.0,64-43,1.0,up 1.0,N,-1
108,"Tuesday, Aug 3",TBR,Home,SEA,2.0,4.0,64-44,1.0,up 1.0,N,-2
109,"Wednesday, Aug 4",TBR,Home,SEA,4.0,3.0,65-44,1.0,up 1.0,D,1
110,"Friday, Aug 6",TBR,@,BAL,10.0,6.0,66-44,1.0,up 2.5,N,2
111,"Saturday, Aug 7",TBR,@,BAL,12.0,3.0,67-44,1.0,up 3.0,N,3
112,"Sunday, Aug 8",TBR,@,BAL,9.0,6.0,68-44,1.0,up 4.0,D,4
113,"Tuesday, Aug 10",TBR,@,BOS,8.0,4.0,69-44,1.0,up 5.0,N,5
114,"Wednesday, Aug 11",TBR,@,BOS,8.0,20.0,69-45,1.0,up 4.0,N,-1
115,"Thursday, Aug 12",TBR,@,BOS,8.0,1.0,70-45,1.0,up 5.0,D,1
116,"Friday, Aug 13",TBR,@,MIN,10.0,4.0,71-45,1.0,up 5.0,N,2
117,"Saturday, Aug 14",TBR,@,MIN,0.0,12.0,71-46,1.0,up 4.0,N,-1
118,"Sunday, Aug 15",TBR,@,MIN,4.0,5.0,71-47,1.0,up 3.0,D,-2
119,"Monday, Aug 16",TBR,Home,BAL,9.0,2.0,72-47,1.0,up 3.5,N,1
120,"Tuesday, Aug 17",TBR,Home,BAL,10.0,0.0,73-47,1.0,up 5.0,N,2
121,"Wednesday, Aug 18",TBR,Home,BAL,8.0,4.0,74-47,1.0,up 5.0,N,3
122,"Thursday, Aug 19",TBR,Home,BAL,7.0,2.0,75-47,1.0,up 5.0,D,4
123,"Friday, Aug 20",TBR,Home,CHW,5.0,7.0,75-48,1.0,up 4.0,N,-1
124,"Saturday, Aug 21",TBR,Home,CHW,8.0,4.0,76-48,1.0,up 4.0,D,1
125,"Sunday, Aug 22",TBR,Home,CHW,9.0,0.0,77-48,1.0,up 4.5,D,2
126,"Tuesday, Aug 24",TBR,@,PHI,3.0,1.0,78-48,1.0,up 4.0,N,3
127,"Wednesday, Aug 25",TBR,@,PHI,7.0,4.0,79-48,1.0,up 4.5,N,4
128,"Friday, Aug 27",TBR,@,BAL,6.0,3.0,80-48,1.0,up 4.0,N,5
129,"Saturday, Aug 28",TBR,@,BAL,4.0,3.0,81-48,1.0,up 5.0,N,6
130,"Sunday, Aug 29",TBR,@,BAL,12.0,8.0,82-48,1.0,up 6.0,D,7
131,"Monday, Aug 30",TBR,Home,BOS,6.0,1.0,83-48,1.0,up 7.0,N,8
132,"Tuesday, Aug 31",TBR,Home,BOS,8.0,5.0,84-48,1.0,up 8.0,N,9
133,"Wednesday, Sep 1",TBR,Home,BOS,2.0,3.0,84-49,1.0,up 7.0,N,-1
134,"Thursday, Sep 2",TBR,Home,BOS,0.0,4.0,84-50,1.0,up 6.5,N,-2
135,"Friday, Sep 3",TBR,Home,MIN,5.0,3.0,85-50,1.0,up 6.5,N,1
136,"Saturday, Sep 4",TBR,Home,MIN,11.0,4.0,86-50,1.0,up 7.5,D,2
137,"Sunday, Sep 5",TBR,Home,MIN,5.0,6.0,86-51,1.0,up 7.5,D,-1
138,"Monday, Sep 6",TBR,@,BOS,11.0,10.0,87-51,1.0,up 8.5,D,1
139,"Tuesday, Sep 7",TBR,@,BOS,12.0,7.0,88-51,1.0,up 9.5,N,2
140,"Wednesday, Sep 8",TBR,@,BOS,1.0,2.0,88-52,1.0,up 9.0,N,-1
141,"Friday, Sep 10",TBR,@,DET,4.0,10.0,88-53,1.0,up 9.0,N,-2
